,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol
216931,2019-11-12 00:00:00-05:00,FB,194.47,18381966.0,60.353020721507846,194.71543374468942,191.37799999999987,188.04056625531032,0.40360110989554465,Technology,Facebook Inc.,33606,Nasdaq Global Select
218055,2019-11-12 00:00:00-05:00,FAST,36.9,3200423.0,60.4227465731035,37.27766131783507,37.018000000000015,36.75833868216496,0.7495884557233088,Industrials,Fastenal Company,21182,Nasdaq Global Select
219179,2019-11-12 00:00:00-05:00,FRT,130.16,353070.0,30.555100771102033,134.77594685270142,131.91599999999968,129.05605314729794,0.6459576883598852,Real Estate,Federal Realty Investment Trust,326,New York Stock Exchange
220303,2019-11-12 00:00:00-05:00,FDX,161.22,1335161.0,58.34350612576335,164.6249083887369,162.7419999999998,160.85909161126267,0.7209436458903373,Industrials,FedEx Corporation,227000,New York Stock Exchange
221427,2019-11-12 00:00:00-05:00,FIS,132.62,5667306.0,53.67409265056426,133.41835692926222,131.78200000000004,130.14564307073786,0.3439683740218432,Industrials,Fidelity National Information Services Inc.,52000,New York Stock Exchange
222551,2019-11-12 00:00:00-05:00,FITB,30.11,4776941.0,66.09312412010681,30.729659534143195,30.348000000000003,29.96634046585681,0.8434459360687044,Financial Services,Fifth Third Bancorp,18163,Nasdaq Global Select
223675,2019-11-12 00:00:00-05:00,FE,46.3,7507071.0,36.26448842846173,47.28593477971928,46.54999999999999,45.8140652202807,0.4712866201336421,Utilities,FirstEnergy Corp.,15617,New York Stock Exchange
224799,2019-11-12 00:00:00-05:00,FRC,109.93,836559.0,72.0302019593496,110.34157622316528,109.88400000000004,109.42642377683481,0.776405491871163,Financial Services,FIRST REPUBLIC BANK,4242,New York Stock Exchange
225923,2019-11-12 00:00:00-05:00,FISV,110.65,2736439.0,64.20978864498159,113.57736750685197,109.2140000000001,104.85063249314823,0.3192823908429907,Industrials,Fiserv Inc.,24000,Nasdaq Global Select
227047,2019-11-12 00:00:00-05:00,FLT,290.73,524788.0,46.85559265297816,297.47217417206593,293.166,288.85982582793406,0.4419004796438255,Industrials,FleetCor Technologies Inc.,7890,New York Stock Exchange
228171,2019-11-12 00:00:00-05:00,FLIR,53.43,394694.0,51.98854226503053,53.69512335686857,53.310000000000024,52.924876643131476,3.658166370481345,Technology,FLIR Systems Inc.,3542,Nasdaq Global Select
229295,2019-11-12 00:00:00-05:00,FLS,48.97,863280.0,55.61861901875675,49.59505964905753,49.13400000000008,48.672940350942625,0.7889281745807502,Industrials,Flowserve Corporation,16000,New York Stock Exchange
230419,2019-11-12 00:00:00-05:00,FMC,98.35,1124610.0,75.43709290465823,99.36854767835884,97.88199999999998,96.39545232164112,0.5923827002059319,Basic Materials,FMC Corporation,7000,New York Stock Exchange
231543,2019-11-12 00:00:00-05:00,F,9.04,28309428.0,53.98625309328317,9.143452333537955,8.994000000000003,8.844547666462052,0.7982179970131343,Consumer Cyclical,Ford Motor Company,202000,New York Stock Exchange
232667,2019-11-12 00:00:00-05:00,FTNT,99.99,2690031.0,83.74813717429704,100.5902978628979,95.89000000000004,91.18970213710219,0.7272360743407935,Technology,Fortinet Inc.,5462,Nasdaq Global Select
233791,2019-11-12 00:00:00-05:00,FTV,72.1,1734453.0,56.45283394571853,73.40273124458366,72.50799999999997,71.61326875541627,0.6472337707119582,Technology,Fortive Corporation,26000,New York Stock Exchange
234915,2019-11-12 00:00:00-05:00,FBHS,62.38,910517.0,70.7483450168002,62.48511498027601,61.897999999999854,61.3108850197237,0.4938402392806987,Consumer Cyclical,Fortune Brands Home & Security Inc.,23800,New York Stock Exchange
236039,2019-11-12 00:00:00-05:00,FOXA,34.485,4143064.0,63.773891349488856,36.027320821212854,34.531000000000006,33.03467917878716,0.6042738907070512,Consumer Cyclical,Twenty-First Century Fox Inc.,22400,Nasdaq Global Select
238287,2019-11-12 00:00:00-05:00,BEN,27.97,2949969.0,49.33220929161498,28.9255896086435,28.301999999999964,27.67841039135643,1.3015259183899575,Financial Services,Franklin Resources Inc.,9800,New York Stock Exchange
239411,2019-11-12 00:00:00-05:00,FCX,11.04,16115494.0,61.15937195454302,11.691572256064982,11.111999999999998,10.532427743935015,0.7119863923811304,Basic Materials,Freeport-McMoRan Inc.,25200,New York Stock Exchange
240535,2019-11-12 00:00:00-05:00,GPS,17.16,7826961.0,49.31674988715679,18.324171413584097,17.343999999999973,16.36382858641585,1.0994742147032988,Consumer Cyclical,Gap Inc. (The),135000,New York Stock Exchange
241659,2019-11-12 00:00:00-05:00,GRMN,96.11,1340669.0,69.8668303109007,97.86988277815446,95.39599999999992,92.92211722184537,0.44578925972373845,Technology,Garmin Ltd.,12300,Nasdaq Global Select
242783,2019-11-12 00:00:00-05:00,IT,160.62,597586.0,79.9355050495829,161.60842287949092,159.9860000000001,158.3635771205093,0.7587763597043357,Technology,Gartner Inc.,15131,New York Stock Exchange
243907,2019-11-12 00:00:00-05:00,GD,185.28,895471.0,61.85842011358643,186.648301910867,183.84600000000023,181.04369808913347,0.4713367334498721,Industrials,General Dynamics Corporation,98600,New York Stock Exchange
245031,2019-11-12 00:00:00-05:00,GE,11.42,48331532.0,77.79898562058102,11.656808550960122,11.320000000000004,10.983191449039886,0.5165213032503901,Industrials,General Electric Company,313000,New York Stock Exchange
246155,2019-11-12 00:00:00-05:00,GIS,52.36,2270777.0,51.119917429818415,52.7057203250006,52.33399999999997,51.96227967499934,0.32979058609162915,Consumer Defensive,General Mills Inc.,40000,New York Stock Exchange
247279,2019-11-12 00:00:00-05:00,GM,38.59,13671744.0,61.13746508290008,38.79977466040486,38.57799999999999,38.35622533959512,0.6680798928391578,Consumer Cyclical,General Motors Company,180000,New York Stock Exchange
248403,2019-11-12 00:00:00-05:00,GPC,104.7,770520.0,58.39028045085095,108.15695839750586,106.22199999999995,104.28704160249404,0.7645259225156967,Consumer Cyclical,Genuine Parts Company,48000,New York Stock Exchange
249527,2019-11-12 00:00:00-05:00,GILD,64.32,4621638.0,48.836368704996396,65.89205391179728,64.74199999999993,63.59194608820259,1.1708883490689266,Healthcare,Gilead Sciences Inc.,10000,Nasdaq Global Select
251775,2019-11-12 00:00:00-05:00,GPN,171.86,1459064.0,62.958184740897295,173.7356068906303,170.03199999999975,166.32839310936922,0.7217367285878937,Industrials,Global Payments Inc.,10000,New York Stock Exchange
252899,2019-11-12 00:00:00-05:00,GS,220.41,2032067.0,61.490841724964504,224.77188686700845,220.81200000000027,216.8521131329921,0.8315122085830285,Financial Services,Goldman Sachs Group Inc. (The),38000,New York Stock Exchange
254023,2019-11-12 00:00:00-05:00,GWW,325.44,287807.0,66.79735344767641,328.87939755395803,323.90000000000003,318.92060244604204,0.8855578963624375,Industrials,W.W. Grainger Inc.,25700,New York Stock Exchange
255147,2019-11-12 00:00:00-05:00,HAL,21.03,8495825.0,59.72845895763126,21.514322342960195,21.02399999999997,20.533677657039743,0.803038932877389,Energy,Halliburton Company,55000,New York Stock Exchange
256271,2019-11-12 00:00:00-05:00,HBI,15.63,3495661.0,50.306019368090524,16.135636112853515,15.872000000000009,15.608363887146503,1.2300770314636806,Consumer Cyclical,Hanesbrands Inc.,67200,New York Stock Exchange
257395,2019-11-12 00:00:00-05:00,HOG,38.36,1981926.0,52.4354040491351,39.65555438472987,38.812000000000026,37.968445615270184,1.3685909483324648,Consumer Cyclical,Harley-Davidson Inc.,5200,New York Stock Exchange
