,timestamp,Stock,Close,Volume,RSI,BBANDS_Up,BBANDS_Mid,BBANDS_Low,BETA,Sector,Name,Employees,Exchange_Symbol,Market Cap,Reward,RISK,Reward_Risk
104831,2019-11-12 00:00:00-05:00,L,50.65,763221.0,52.894332034496756,51.21171346469872,50.81400000000002,50.41628653530133,1.028993548577344,Financial Services,Loews Corporation,18100,New York Stock Exchange,15798914830.6567,47.105667965503244,-0.6685723470490077,0.5278654742921159
105195,2019-11-12 00:00:00-05:00,LOW,114.32,4477817.0,62.7955147815784,115.22428710318658,113.60800000000003,111.99171289681343,1.096653227742059,Consumer Cyclical,Lowe's Companies Inc.,310000,New York Stock Exchange,92828113942.59474,37.2044852184216,-0.666944218521534,0.6268656877993952
105559,2019-11-12 00:00:00-05:00,LYB,96.58,1371559.0,68.90941223540496,97.7791687374606,97.14199999999991,96.5048312625392,0.5934574835154911,Basic Materials,LyondellBasell Industries NV Class A (Netherlands),13400,New York Stock Exchange,36280980429.89961,31.090587764595043,-0.6790528681071187,0.6879997514034484
105923,2019-11-12 00:00:00-05:00,MTB,165.48,600967.0,63.37597741725561,167.94945234142816,166.56199999999995,165.1745476585718,0.7560486326001993,Financial Services,M&T Bank Corporation,16760,New York Stock Exchange,23123340223.00521,36.62402258274439,-0.6751403563806725,0.6326705773350897
106287,2019-11-12 00:00:00-05:00,MAC,27.3,1997512.0,39.790096851146046,29.301605500979882,28.079999999999966,26.85839449902005,0.7794156978926973,Real Estate,Macerich Company (The),855,New York Stock Exchange,3806096103.791142,60.209903148853954,-0.6745780630609918,0.3968443742231123
106651,2019-11-12 00:00:00-05:00,M,16.08,23581224.0,54.066089209609785,16.267332355832192,16.039999999999992,15.812667644167789,0.82110882972893,Consumer Cyclical,Macy's Inc,130000,New York Stock Exchange,4783442384.663063,45.933910790390215,-0.6735747804829435,0.5395821856365718
107015,2019-11-12 00:00:00-05:00,MRO,12.01,14337520.0,49.16823525598553,12.724238466895054,12.288,11.851761533104947,0.8218221688201243,Energy,Marathon Oil Corporation,2300,New York Stock Exchange,9960392035.41187,50.83176474401447,-0.6735576150494317,0.49061018701948905
107379,2019-11-12 00:00:00-05:00,MPC,64.9,6653333.0,52.342700600576784,67.01919125029067,65.47400000000012,63.928808749709546,1.0093198890337012,Energy,Marathon Petroleum Corporation,43800,New York Stock Exchange,44781581619.63784,47.657299399423216,-0.6690457641082997,0.5223499319515668
107743,2019-11-12 00:00:00-05:00,MKTX,365.93,265860.0,58.499511505242864,369.00890132295234,354.046,339.0830986770476,0.6013760202523708,Financial Services,MarketAxess Holdings Inc.,429,Nasdaq Global Select,13534582075.88064,41.500488494757136,-0.6788623204173229,0.5839117002192087
108107,2019-11-12 00:00:00-05:00,MAR,132.53,1491837.0,66.50806874100682,133.64243801977727,132.62399999999994,131.60556198022257,0.1700537920567633,Consumer Cyclical,Marriott International,177000,Nasdaq Global Select,45080446197.60884,33.491931258993176,-0.689241441822099,0.6639897315209181
108471,2019-11-12 00:00:00-05:00,MMC,104.15,1160781.0,64.14619445528385,104.174476021894,103.50200000000001,102.82952397810598,0.3021010089378322,Financial Services,Marsh & McLennan Companies Inc.,65000,New York Stock Exchange,52055816212.65285,35.85380554471615,-0.6860639239350546,0.6403731030548223
108835,2019-11-12 00:00:00-05:00,MLM,255.24,534455.0,38.06333371365965,258.03254894876216,256.4619999999997,254.89145105123717,0.3649903653588842,Basic Materials,Martin Marietta Materials Inc.,8406,New York Stock Exchange,15985453361.459915,61.93666628634035,-0.6845505860574937,0.37958194988004995
109199,2019-11-12 00:00:00-05:00,MAS,46.64,2335216.0,69.4487866567319,46.66348642357581,46.28600000000004,45.908513576424276,0.3427596721736437,Basic Materials,Masco Corporation,26000,New York Stock Exchange,14289425961.53915,30.551213343268103,-0.6850855342896941,0.6933935678427636
109563,2019-11-12 00:00:00-05:00,MA,277.14,2436418.0,54.54053578716975,279.8271506990758,274.33600000000007,268.84484930092435,0.7595860540005336,Financial Services,Mastercard Incorporated,13400,New York Stock Exchange,309894605877.34393,45.45946421283025,-0.6750552336492809,0.5443262404595052
109927,2019-11-12 00:00:00-05:00,MKC,161.12,610508.0,50.28652742888835,161.462188575511,160.2,158.93781142448896,0.5236899094003968,Consumer Defensive,McCormick & Company Incorporated,11700,New York Stock Exchange,21021556892.901333,49.71347257111165,-0.6807317199596805,0.5017925090296711
110291,2019-11-12 00:00:00-05:00,MXIM,58.39,2649454.0,48.8577711632116,60.20532396996843,59.256000000000036,58.30667603003165,0.5278155602530263,Technology,Maxim Integrated Products Inc.,7149,Nasdaq Global Select,16211076123.561329,51.1422288367884,-0.680632442370273,0.4875069693970004
110655,2019-11-12 00:00:00-05:00,MCD,193.28,3282644.0,39.035945752602956,194.3926323017593,193.35799999999998,192.32336769824056,0.6858792204656532,Consumer Cyclical,McDonald's Corporation,235000,New York Stock Exchange,145800529982.9799,60.964054247397044,-0.6768288778614525,0.38930472125479815
111019,2019-11-12 00:00:00-05:00,MCK,144.83,2857797.0,56.8252620764757,145.93243886110727,139.66599999999997,133.39956113889266,0.6292129390189247,Healthcare,McKesson Corporation,78000,New York Stock Exchange,29114006250.843006,43.1747379235243,-0.6781924667892787,0.5671710945423736
111383,2019-11-12 00:00:00-05:00,MDT,108.63,2742329.0,56.44339611687109,108.89674389660428,107.45799999999996,106.01925610339569,0.8000783662463571,Healthcare,Medtronic plc.,86000,New York Stock Exchange,145532345846.59018,43.55660388312891,-0.6740808469905694,0.563352400571272
111747,2019-11-12 00:00:00-05:00,MRK,84.12,9395471.0,51.28796450840253,84.25293666826876,83.42400000000005,82.59506333173131,0.7261635994243383,Healthcare,Merck & Company Inc. (new),69000,New York Stock Exchange,215235029596.51852,48.71203549159747,-0.6758594948048979,0.5118048526219178
112111,2019-11-12 00:00:00-05:00,MET,49.58,5744156.0,73.02662327678638,49.80516460407053,49.151999999999994,48.49883539592944,0.8520891216627737,Financial Services,MetLife Inc.,49000,New York Stock Exchange,49862359780.4868,26.97337672321362,-0.6728292863022194,0.7291674121552633
112475,2019-11-12 00:00:00-05:00,MTD,711.45,143312.0,55.45527212241398,723.287005795627,710.26,697.232994204373,-0.013269236493681459,Healthcare,Mettler-Toledo International Inc.,15400,New York Stock Exchange,17614324822.697483,44.54472787758602,-0.6936528350803973,0.5534747680244985
112839,2019-11-12 00:00:00-05:00,MGM,30.99,4798973.0,71.28437321627213,31.739204095551713,31.035999999999994,30.332795904448275,0.2369761282896579,Consumer Cyclical,MGM Resorts International,77000,New York Stock Exchange,16227224550.793457,28.71562678372787,-0.6876310563444986,0.7117479223940557
113203,2019-11-12 00:00:00-05:00,MCHP,93.68,2028876.0,46.57520829475497,96.84679049348871,95.088,93.32920950651129,1.010450320455886,Technology,Microchip Technology Incorporated,14234,Nasdaq Global Select,22080036742.35895,53.42479170524503,-0.6690185619744805,0.46468308308355444
113567,2019-11-12 00:00:00-05:00,MU,46.9,15777678.0,50.15265827760089,48.73019389279536,47.286000000000016,45.841806107204675,0.9947450881739238,Technology,Micron Technology Inc.,36000,Nasdaq Global Select,53830511956.14605,49.84734172239911,-0.6693964847938692,0.5004524795720554
113931,2019-11-12 00:00:00-05:00,MSFT,147.07,21196803.0,66.53231844323342,147.80015597386625,145.49200000000027,143.18384402613432,1.1654790157862704,Technology,Microsoft Corporation,131000,Nasdaq Global Select,1118412069387.0703,33.46768155676658,-0.6652880293358324,0.6642297657316196
114295,2019-11-12 00:00:00-05:00,MAA,131.59,998378.0,39.07515690881087,137.425220169562,134.03000000000014,130.6347798304383,0.7251026989644681,Real Estate,Mid-America Apartment Communities Inc.,2464,New York Stock Exchange,14678919768.320997,60.92484309118913,-0.6758850237805722,0.3896965916831427
114659,2019-11-12 00:00:00-05:00,MHK,148.93,850574.0,72.54453361287591,153.12800567724082,150.6619999999999,148.195994322759,0.5727634790586582,Consumer Cyclical,Mohawk Industries Inc.,38800,New York Stock Exchange,11069236073.5302,27.45546638712409,-0.6795508382337847,0.7243475806548892
115023,2019-11-12 00:00:00-05:00,TAP,52.67,1631622.0,36.99616741063834,54.73726958956426,53.55200000000014,52.36673041043601,0.3460272027009994,Consumer Defensive,Molson Coors Brewing Company Class B,17200,New York Stock Exchange,8566681296.035836,63.00383258936166,-0.6850069060766778,0.36891266154446306
115387,2019-11-12 00:00:00-05:00,MDLZ,52.07,3971774.0,41.36737650363804,52.30704936391531,51.91200000000017,51.516950636085035,0.5569026138143234,Consumer Defensive,Mondelez International Inc.,83000,Nasdaq Global Select,75136913711.07861,58.63262349636196,-0.6799325061265906,0.4126151060788067
